O O O O O O O O SEG-S O O SEG-S O O O O O O O O O O O O O O O O O SEG-S O O O SEG-S	章 概 三 子 鼎 玉 字 克 成 号 幼 麟 生 于 清 道 光 二 十 年 庚 子 正 月 二 十 九 日 子 时 卒 葬 无 考
O SEG-S O O O SEG-S	阿 猴 武 洛 诸 社
O O O O O O SEG-S	一 声 何 处 沧 浪 清
O O O O O O SEG-S O O O O O O SEG-S	族 甲 蒲 鄞 鲜 拟 伦 儿 班 玉 笋 婿 朱 轮
O O O SEG-S O O SEG-S O O O O O SEG-S O O O O SEG-S O O O O O O O SEG-S O O O SEG-S O O O O O O O O SEG-S O O O O SEG-S O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O O O SEG-S	不 韦 大 喜 至 次 日 令 人 去 接 新 人 到 晚 一 行 人 簇 着 轿 子 前 来 门 首 下 轿 入 门 那 新 人 生 得 十 分 美 丽 怎 见 得 美 处 但 见 齐 直 直 发 儿 曲 弯 弯 眉 儿 炯 青 青 眼 儿 直 隆 隆 界 儿 香 喷 喷 口 儿 红 拂 拂 腮 儿 美 甘 甘 脸 儿 尖 纤 纤 指 儿 短 细 细 脚 儿 穿 一 双 翠 绣 鞋 儿
O O O O O O SEG-S O O O O O O SEG-S	犹 恐 清 光 不 同 见 江 陵 卑 湿 足 秋 阴
O O O O SEG-S O O O O SEG-S	取 媵 虽 然 必 窘 穷 亦 堪 悼
O O O O SEG-S O O O O SEG-S	忽 然 变 瑰 怪 风 霆 拔 金 暇
O O O O O O O O O O O SEG-S O O O O O O O O O SEG-S O O O SEG-S O O O O SEG-S O O O SEG-S O O O O SEG-S	□ 以 办 理 换 约 支 应 事 宜 妥 协 兼 管 顺 天 府 府 尹 张 祥 河 下 部 优 叙 赏 府 尹 董 醇 二 品 顶 带 余 升 叙 有 差
O O O O SEG-S O O O O SEG-S	英 魂 空 杀 贼 天 意 在 燕 君
O O O O O O O SEG-S O O O O SEG-S O O SEG-S O O O SEG-S O O O O O SEG-S O O O O O O O O O O O O SEG-S O O O O O O SEG-S O O SEG-S O O O O O O SEG-S O O O O O O O O O O O O O O SEG-S O O O O O O O O O O O O O O O SEG-S O O O O O SEG-S O O O O O O O O SEG-S O O O O SEG-S O O O O SEG-S O O O O O O O O O SEG-S	故 自 此 以 后 十 三 章 皆 言 圣 合 天 贤 合 圣 天 人 一 理 圣 贤 一 致 之 旨 使 不 思 不 勉 者 为 圣 人 之 所 独 得 则 不 可 名 为 天 道 天 无 私 凡 物 皆 天 道 所 成 使 君 子 之 择 善 固 执 为 圣 人 之 所 不 用 则 君 子 终 不 能 循 此 以 至 于 圣 人 之 域 矣 而 下 云 明 则 诚 云 曲 能 有 诚 以 至 于 化 云 性 之 德 也 时 措 之 宜 也 又 岂 因 他 涂 而 底 圣 境 哉
SEG-S O O O O O SEG-S O O O O O SEG-S O O O O O O O O O SEG-S O O O SEG-S O O O O O SEG-S SEG-S	流 晨 趋 甲 帐 之 严 暮 拜 丙 科 之 宠 此 盖 伏 遇 某 官 学 穷 游 夏 文 媲 卿 云 槐 花 黄 而 并 游 每
O O SEG-S O O O SEG-S O O O O O O O O O SEG-S O O O SEG-S O O O SEG-S O O O O O SEG-S O O O SEG-S O O O O SEG-S O O O O O O O O O O SEG-S O O O O SEG-S O O O SEG-S O O O SEG-S O SEG-S O SEG-S O O O SEG-S O O O O O O O SEG-S O O O O O O O SEG-S O O O O SEG-S O O O O O SEG-S O O O O SEG-S	□ 丙 午 吏 部 议 覆 湖 广 道 御 史 房 廷 祯 疏 言 捐 纳 岁 贡 终 非 正 途 不 应 考 选 科 道 应 如 所 请 又 督 抚 子 弟 应 照 在 京 三 品 京 堂 子 弟 例 亦 不 与 考 选 应 不 准 行 得 上 □ 日 汉 军 汉 人 捐 纳 岁 贡 俱 不 准 作 正 途 考 选 京 官 三 品 以 上 子 弟 既 不 与 考 选 总 督 巡 抚 子 弟 亦 不 准 考 选
